Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Luciano DordoniM40-44,AR,#825,48,187,202,30:18:00,2:43:40,1:36:13,4:53:48,92.6
Daniela Angelica Aramayo RanaF40-44,BO,#418,26,185,1072,1:04:49,3:22:27,2:29:28,7:06:25,77.9
Marcelo D'Elia CaprottaM35-39,AR,#694,94,400,451,43:19:00,2:43:27,1:48:30,5:19:49,87
Federico VieraM35-39,UY,#711,91,379,428,45:13:00,2:45:09,1:42:53,5:18:22,87.3
Claudio FurfuroM50-54,AR,#1036,15,251,272,41:46:00,2:36:04,1:39:40,5:02:46,94.2
Martin Leonardo ViolaM40-44,AR,#269,82,343,378,33:28:00,2:44:42,1:49:35,5:14:34,88.7
Gonzalo AriasM45-49,AR,#961,154,919,1117,46:59:00,3:42:20,3:05:12,7:49:38,68.1
Gonzalo WolfensonM35-39,AR,#735,58,271,295,32:37:00,2:38:52,1:50:28,5:06:12,89.4
Daniel GrecoM45-49,BR,#902,71,476,547,40:06:00,2:36:59,2:05:58,5:29:28,86.7
Graciela Mónica FrancoF50-54,AR,#473,13,145,930,52:29:00,3:17:16,1:59:10,6:19:39,89
Leonel GonzalezM40-44,AR,#1240,167,689,799,39:45:00,2:45:57,2:26:50,5:58:40,81.5
Marcelo CalioM55-59,AR,#235,31,709,824,40:46:00,3:03:29,2:11:41,6:01:44,84
Gustavo D FernandezM50-54,AR,#1298,27,367,409,44:09:00,2:36:53,1:49:53,5:16:41,91.6
Javier SolisM45-49,AR,#207,99,666,771,45:13:00,2:42:25,2:19:45,5:55:44,82.5
Adriano Borges De CarvalhoM35-39,BR,#670,68,303,334,33:26:00,2:44:35,1:45:07,5:10:11,88.7
Fernando DoderoM30-34,AR,#237,30,196,212,33:27:00,2:38:00,1:39:03,4:54:35,92.8
Ariel MohedaM45-49,AR,#974,69,467,537,40:44:00,2:44:37,1:57:01,5:28:28,86.9
Leandro GauteroM40-44,AR,#778,61,259,282,28:43:00,2:41:02,1:48:22,5:04:47,90.5
Doorgal Gustavo Sad Lafayette De AndradaM25-29,BR,#1382,9,88,96,31:29:00,2:34:10,1:28:15,4:37:48,94.9
Jose MornaghiM18-24,AR,#1242,4,45,49,28:30:00,2:20:20,1:35:04,4:28:01,96.1
Nicolas ZadorM18-24,UY,#493,17,872,1053,45:46:00,3:31:09,2:25:39,6:55:16,71.9
JULIO GARCIAM40-44,AR,#240,15,73,80,36:36:00,2:22:39,1:31:43,4:35:08,96.3
Maria Layla FaisalF40-44,AR,#433,20,157,958,45:15:00,3:18:24,2:14:31,6:25:06,83.4
Edwin AgudeloM40-44,CO,#231,192,853,1031,48:43:00,3:12:51,2:34:21,6:46:49,74.9
Eduardo BaixauliM30-34,AR,#1190,74,531,609,43:51:00,2:49:54,1:55:24,5:36:31,85.3
Irene SillsF50-54,AR,#1359,12,143,925,48:04:00,2:56:09,2:26:19,6:19:01,89.1
Melanie CentenoF25-29,AR,#1275,9,149,942,45:00:00,3:04:00,2:25:48,6:22:02,85.1
Alejandro RybkoM30-34,AR,#576,83,590,676,33:44:00,2:48:49,2:11:19,5:45:15,83.9
Matias Jorge SimoneM30-34,AR,#555,32,206,222,31:00:00,2:34:35,1:43:52,4:55:29,92.6
Ricardo Gabriel PayaM45-49,AR,#1000,90,633,732,46:44:00,2:55:43,1:59:34,5:51:02,83.3
Carla Di AloyF45-49,AR,#444,32,147,936,42:27:00,3:03:44,2:24:57,6:20:45,86.7
Matias GallardoM30-34,AR,#606,56,388,437,38:01:00,2:32:00,2:04:03,5:18:47,88.3
Maria Augusta Miranda Dos SantosF50-54,BR,#478,25,189,1091,50:49:00,3:52:32,2:21:31,7:18:32,81.2
Andres StupnikM50-54,AR,#1023,34,448,513,34:43:00,2:46:06,1:56:44,5:25:54,90
Stefania Ailin DelfauF30-34,AR,#1145,32,133,899,43:26:00,3:10:30,2:12:08,6:13:35,82.8
Ricardo CrispM65-69",AR,#260,3,867,1047,44:43:00,3:20:42,2:36:29,6:52:12,87
Gonzalo MartinezM30-34,AR,#590,73,530,608,39:59:00,2:51:21,1:54:28,5:36:02,85.4
